Rank,shear_range,zoom_range,rotation_range,width_shift_range,height_shift_range,horizontal_flip,Test Accuracy,Precision,Recall,F1 Score
1,0.0,0.0,0,0.0,0.0,True,95.43,1.0,0.99,0.99
2,0.2,0.0,0,0.0,0.0,False,91.37,0.99,0.98,0.99
3,0.0,0.0,0,0.0,0.0,False,92.89,0.99,0.97,0.98
4,0.2,0.0,15,0.0,0.0,False,91.88,0.98,0.98,0.98
5,0.2,0.0,15,0.0,0.0,True,87.82,0.98,0.98,0.98
6,0.0,0.0,15,0.0,0.1,True,91.37,0.98,0.98,0.98
7,0.2,0.0,0,0.0,0.0,True,90.36,0.97,0.99,0.98
8,0.2,0.0,0,0.0,0.1,False,92.39,1.0,0.95,0.98
9,0.0,0.2,0,0.0,0.0,True,86.8,0.96,0.99,0.97
10,0.0,0.0,0,0.0,0.1,True,88.83,0.97,0.99,0.98
