conv_layers,filters,dense_layers,dense_units,dropout,epochs,batch_size,learning_rate,activation,optimizer,Test Accuracy,Precision,Recall,F1 Score
1,64,1,64,0.2,50,32,0.001,relu,adam,0.9898,1.0,1.0,1.0
2,32,1,64,0.2,30,32,0.001,relu,adam,0.9848,1.0,1.0,1.0
2,32,1,128,0.2,50,32,0.001,relu,adam,1.0,1.0,1.0,1.0
2,64,1,64,0.2,30,32,0.001,relu,adam,0.9898,1.0,1.0,1.0
2,64,1,128,0.2,30,32,0.001,relu,adam,0.9898,1.0,1.0,1.0
1,32,1,64,0.2,50,32,0.001,relu,adam,0.9543,0.9943,1.0,0.9971
1,32,1,64,0.2,30,32,0.001,relu,adam,0.9848,1.0,0.9943,0.9971
1,32,1,128,0.2,50,32,0.001,relu,adam,0.9949,1.0,0.9943,0.9971
1,64,1,128,0.2,50,32,0.001,relu,adam,0.9848,1.0,0.9943,0.9971
2,32,1,64,0.2,50,32,0.001,relu,adam,0.9797,1.0,0.9943,0.9971
2,32,1,128,0.2,30,32,0.001,relu,adam,0.9797,1.0,0.9943,0.9971
1,32,1,128,0.2,30,32,0.001,relu,adam,0.9797,1.0,0.9885,0.9942
2,64,1,128,0.2,50,32,0.001,relu,adam,0.9645,1.0,0.9885,0.9942
1,64,1,128,0.2,30,32,0.001,relu,adam,0.9746,1.0,0.9828,0.9913
2,64,1,64,0.2,50,32,0.001,relu,adam,0.9746,1.0,0.977,0.9884
